Input.image,Linearly-vs-Painterly,Planar-vs-Recessional,closed-form-vs-open-form,multiplicity-vs-unity,absolute-clarity-vs-relative-clarity
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/103_the-virgin-of-the-chancellor-rolin-detail-1436.jpg!Blog.jpg,0.45,0.45,0.45,0.1,0.2
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1041_virgin-and-child-with-saints-1565.jpg!Blog.jpg,0.6,0.75,0.1,0.6,0.85
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1043_pittura-r-bl-1986.jpg!Blog.jpg,0.25,0.4,0.45,0.0,0.4
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1045_the-judgment-of-solomon-1511.jpg!Blog.jpg,0.55,0.8,0.4,0.55,0.7
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1052_st-cecilia-1625.jpg!Blog.jpg,0.6,0.25,0.25,0.7,0.0
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1052_the-boulevard-montmartre-at-night-1897.jpg!Blog.jpg,0.95,0.75,0.7,1.0,0.85
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1055_portrait-of-diane-d-andouins-and-her-daughter-1565.jpg,0.55,0.45,0.4,0.35,0.1
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1056_portrait-of-elena-anguissola-1551.jpg,0.6,0.25,0.45,0.15,0.15
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1057_english-demographer-and-political-economist-thomas-malthus-1897.jpg!Blog.jpg,0.5,0.25,0.25,0.2,0.15
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1059_portrait-of-massimiliano-stampa-1557.jpg!Blog.jpg,0.6,0.1,0.6,0.0,0.15
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10608_gypsy-woman-with-yellow-headscarf-1912.jpg!Blog.jpg,0.95,0.4,0.4,0.5,0.4
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1063_abduction-of-proserpine-on-a-unicorn-1516.jpg!Blog.jpg,0.7,0.8,0.7,0.85,0.95
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1063_lady-anne-bingham-1786.jpg!Blog.jpg,0.9,0.5,0.2,0.55,0.2
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1064_the-cook-1620.jpg!Blog.jpg,0.55,0.5,0.8,0.6,0.5
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1066_three-children-with-dog-1590.jpg!Blog.jpg,0.2,0.1,0.4,0.25,0.45
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1067_the-miracle-of-st-diego-of-alcantara-1625.jpg!Blog.jpg,0.75,0.65,0.5,0.8,0.7
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1071_untitled-landscape-bellport-no-256-1990.jpg!Blog.jpg,0.6,0.5,0.75,1.0,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1076_spring-1883.jpg!Blog.jpg,0.8,0.7,0.55,0.55,0.35
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1079_the-three-graces-1505.jpg!Blog.jpg,0.55,0.25,0.15,0.8,0.4
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/107_the-casual-lover-1716.jpg!Blog.jpg,0.75,0.65,0.2,0.6,0.4
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1080_the-transfiguration-1520.jpg!Blog.jpg,0.65,0.55,0.85,0.85,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1087_master-hare-1789.jpg!Blog.jpg,0.8,0.45,0.6,0.65,0.3
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/108_john-whetham-or-kirklington-nottinghamshire-1782.jpg!Blog.jpg,0.85,0.55,0.35,0.65,0.25
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/108_virgin-annunciate-from-the-exterior-of-the-right-panel-of-the-ghent-altarpiece-1432.jpg!Blog.jpg,0.55,0.2,0.1,0.3,0.3
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1093_dieser-stern-lehrt-beugen-1940.jpg!Blog.jpg,0.3,0.5,0.95,0.55,0.75
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1093_theology-from-the-stanza-della-segnatura-1511.jpg!Blog.jpg,0.55,0.4,0.05,0.25,0.55
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1100_mrs-crewe-1761.jpg!Blog.jpg,0.85,0.25,0.25,0.5,0.55
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/11039_the-port-of-palais-belle-ile-1896.jpg!Blog.jpg,1.0,0.65,0.7,0.9,0.85
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/11051_portrait-of-a-lady-1920.jpg!Blog.jpg,0.85,0.35,0.45,0.5,0.2
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/11053_princess-louise-mountbatten-1907.jpg!Blog.jpg,1.0,0.5,0.45,0.4,0.0
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1106_portrait-of-french-poet-gustave-kahn-1896.jpg!Blog.jpg,0.35,0.3,0.45,0.0,0.2
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/110_the-third-hand-1947.jpg!Blog.jpg,0.95,0.75,0.65,0.9,0.7
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1111_mrs-peter-beckford-1782.jpg!Blog.jpg,0.9,0.6,0.55,0.65,0.55
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/112_sacrifice-of-isaac-1544.jpg!Blog.jpg,0.3,0.95,0.3,0.4,0.3
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1134_portrait-of-georgiana-duchess-of-devonshire-1776.jpg!Blog.jpg,0.9,0.6,0.8,0.4,0.25
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1138_christ-among-the-doctors-in-the-temple-1503.jpg!Blog.jpg,0.4,0.5,0.1,0.75,0.85
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/113_lamentation-over-the-dead-christ-1502.jpg!Blog.jpg,0.45,0.1,0.1,0.15,0.8
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/113_self-portrait-1562.jpg!Blog.jpg,1.0,0.3,0.55,0.4,0.15
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1141_the-last-supper-detail-1525.jpg!Blog.jpg,0.35,0.0,0.05,0.45,1.0
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1142_christ-appears-to-mary-magdalene-1511.jpg!Blog.jpg,0.45,0.75,0.6,0.5,0.4
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1145_struck-from-the-list-1933.jpg!Blog.jpg,0.8,0.85,0.75,0.8,0.85
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1149_deer-shelter-1868.jpg!Blog.jpg,0.8,0.75,0.9,0.75,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1159_the-adoration-of-the-magi-1619.jpg!Blog.jpg,0.35,0.9,0.95,0.6,0.75
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1165_entombment-of-christ-1526.jpg!Blog.jpg,0.85,0.5,0.55,0.8,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1166_a-river-valley-with-a-group-of-houses-1625.jpg!Blog.jpg,0.8,0.25,0.6,0.95,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1167_st-francis-and-brother-rufus-1606.jpg!Blog.jpg,0.7,0.75,0.55,0.35,0.2
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1169_giacomo-doria-1535.jpg!Blog.jpg,0.7,0.1,0.15,0.2,0.05
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/116_landscape-with-the-toilet-of-venus-1609.jpg!Blog.jpg,0.8,0.65,0.65,0.65,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/116_life-of-st-benedict-benedict-drives-the-devil-out-of-a-stone-1502.jpg!Blog.jpg,0.65,0.7,0.15,0.7,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1172_nihon-hana-zue-1893.jpg!Blog.jpg,0.55,0.5,0.25,0.2,0.4
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1177_la-meuse-a-freyr-1856.jpg!Blog.jpg,0.6,0.6,0.75,0.95,0.85
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1179_christ-s-entry-into-jerusalem-1511.jpg!Blog.jpg,0.3,0.5,0.95,0.7,0.75
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1179_thomas-conolly-1764.jpg!Blog.jpg,0.65,0.35,0.2,0.4,0.0
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1180_madonna-and-child-with-st-catherine-and-a-rabbit-1530.jpg!Blog.jpg,0.9,0.65,0.75,0.7,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1184_christ-taking-leave-of-his-mother-1511.jpg!Blog.jpg,0.5,0.35,0.25,0.65,0.7
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1185_the-pont-neuf-snow-1902.jpg!Blog.jpg,0.9,0.65,0.8,0.9,0.95
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1189_birth-of-the-virgin-1473.jpg!Blog.jpg,0.55,0.35,0.1,0.25,0.6
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/118_crucifixion-diptych-1460.jpg!Blog.jpg,0.4,0.7,0.4,0.2,0.2
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1193_carl-friedrich-abel-1777.jpg!Blog.jpg,0.65,0.7,0.45,0.4,0.25
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/11_mourning-trinity-throne-of-god-1435.jpg!Blog.jpg,0.9,0.05,0.3,0.6,0.4
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1200_crucifixion-1498.jpg!Blog.jpg,0.5,0.75,0.4,0.95,1.0
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1200_madonna-enthroned-with-saints-catherine-and-rose-of-alexandria-and-two-angels-1492.jpg!Blog.jpg,0.1,0.3,0.1,0.2,0.45
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/12014_blue-bonnets-at-late-afternoon-1915.jpg!Blog.jpg,0.7,0.65,0.75,0.95,0.7
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1211_the-beach-at-night-1962.jpg,0.8,0.45,0.9,0.8,0.65
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1214_desiderius-erasmus-of-rotterdam-1526.jpg!Blog.jpg,0.35,0.45,0.3,0.35,0.4
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1215_saints-rocco-and-romanee-in-the-view-of-the-town-deruta-1478.jpg!Blog.jpg,0.75,0.0,0.15,0.2,0.6
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1218_portrait-of-mlle-jacquet-1857.jpg!Blog.jpg,0.6,0.35,0.4,0.35,0.0
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1219_portrait-of-mary-freer-1809.jpg!Blog.jpg,0.75,0.15,0.25,0.65,0.05
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1221_portrait-of-ippolito-de-medici-in-a-hungarian-costume-1533.jpg!Blog.jpg,0.7,0.4,0.4,0.65,0.0
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1225_john-of-austria-the-younger-1648.jpg!Blog.jpg,0.3,0.4,0.2,0.2,0.05
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/122_the-judgment-of-paris-1721.jpg!Blog.jpg,0.85,0.7,0.5,0.65,0.8
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1230_profane-love-1515.jpg!Blog.jpg,0.65,0.35,0.15,0.65,0.0
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1238_newborn-baby-in-a-crib-1583.jpg!Blog.jpg,0.45,0.05,0.3,0.45,0.4
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1238_untitled-1988.jpg!Blog.jpg,0.9,0.6,0.5,1.0,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1239_adoration-of-the-shepherds-1617.jpg!Blog.jpg,0.7,0.65,0.4,0.85,1.0
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/123_st-john-the-almsgiver-1550.jpg!Blog.jpg,0.85,0.7,0.55,0.5,0.4
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/12408_vas-cu-trandafiri-1971.jpg!Blog.jpg,0.95,0.15,0.4,0.65,0.8
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1247_studies-of-saint-sebastian-1520.jpg!Blog.jpg,0.25,0.75,0.4,0.7,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1249_as-the-old-sang-so-the-young-pipe-1640.jpg!Blog.jpg,0.65,0.75,0.4,0.95,0.75
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1249_self-portrait-at-the-clavichord-with-a-servant-1577.jpg!Blog.jpg,0.7,0.65,0.45,0.5,0.6
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1253_allegorie-on-the-battle-of-bra-ov-1604.jpg,0.75,0.65,0.7,0.75,0.85
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/12561_prim-var-la-balcic-1936.jpg!Blog.jpg,1.0,0.7,0.8,0.85,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1256_child-s-head-1620.jpg!Blog.jpg,0.95,0.45,0.45,0.55,0.0
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1256_the-death-of-st-peter-martyr-1529.jpg!Blog.jpg,0.95,0.75,0.6,0.9,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1258_five-lansquenets-and-an-oriental-on-horseback-1495.jpg!Blog.jpg,0.55,0.55,0.75,0.65,0.75
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1260_decoration-of-the-sala-del-gigli-1484.jpg!Blog.jpg,0.2,0.05,0.0,0.05,0.5
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1261_augustus-and-the-tiburtine-sibyl-1580.jpg!Blog.jpg,0.5,0.65,0.85,0.85,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1265_fortune-1495.jpg!Blog.jpg,0.2,0.2,0.1,0.0,0.15
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1266_couple-with-a-mirror-1596.jpg,0.45,0.8,0.65,0.8,0.25
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1266_le-martyre-de-saint-sebastien-act-i-set-design-1911.jpg!Blog.jpg,0.65,0.15,0.65,0.65,0.65
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1266_mrs-richard-brinsley-sheridan-1786.jpg!Blog.jpg,0.9,0.6,0.3,0.5,0.3
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1267_herod-s-banquet-1490.jpg!Blog.jpg,0.6,0.15,0.0,0.6,0.8
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1267_mrs-sarah-siddons-the-actress-1785.jpg!Blog.jpg,0.85,0.25,0.5,0.45,0.0
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1270_holy-family-with-elizabeth-and-child-john-the-baptist-1615.jpg!Blog.jpg,0.75,0.6,0.45,0.8,0.6
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1274_pallas-athena-venus-and-juno-1593.jpg!Blog.jpg,0.9,0.25,0.35,0.65,0.5
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1278_hans-tucher-1499.jpg!Blog.jpg,0.35,0.4,0.4,0.2,0.2
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1280_levade-performed-under-the-auspices-of-mars-and-in-the-presence-of-mercury-venus-and-a-squire-1645.jpg!Blog.jpg,0.65,0.2,0.7,0.5,0.4
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1280_portrait-of-joseph-heintz-1585.jpg,0.65,0.55,0.35,0.5,0.15
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1280_view-of-bazincourt-flood-morning-effect-1892.jpg!Blog.jpg,0.65,0.6,0.7,0.95,0.85
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1283_head-of-a-apostle-1509.jpg!Blog.jpg,0.45,0.4,0.4,0.8,0.2
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1287_judith-1514.jpg!Blog.jpg,0.85,0.55,0.3,0.75,0.45
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1290_street-in-saintes-maries-1888.jpg!Blog.jpg,0.6,0.7,0.7,0.85,0.8
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1299_portrait-of-the-donor-nera-corsi-sassetti-1485.jpg!Blog.jpg,0.55,0.25,0.15,0.45,0.0
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/129_leopold-bloom-1983.jpg!Blog.jpg,0.65,0.4,0.45,0.5,0.05
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/12_fukurojin-fukurokuju-the-god-of-longevity-and-wisdom-1790.jpg!Blog.jpg,0.65,0.9,0.85,0.8,0.85
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1302_renunciation-of-worldly-goods-1485.jpg!Blog.jpg,0.3,0.1,0.0,0.35,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1306_tambourine-with-pansies-1886.jpg!Blog.jpg,0.85,0.5,0.45,0.95,0.6
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1313_st-john-the-evangelist-1490.jpg!Blog.jpg,0.75,0.25,0.0,0.5,0.3
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1317_self-portrait-1754.jpg!Blog.jpg,0.9,0.2,0.3,0.6,0.15
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1318_anger-or-the-tussle-1516.jpg!Blog.jpg,0.6,0.65,0.2,0.6,0.8
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1319_self-portrait-1787.jpg!Blog.jpg,0.9,0.1,0.3,0.8,0.35
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/131_st-jerome-1440.jpg!Blog.jpg,0.65,0.05,0.05,0.55,0.2
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1321_satyr-and-peasant-1620.jpg!Blog.jpg,0.75,0.7,0.85,0.6,0.95
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/132_the-fall-of-man-1570.jpg!Blog.jpg,0.6,0.5,0.35,0.55,0.45
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1330_mythological-scene-1524.jpg!Blog.jpg,0.55,0.45,0.75,0.5,0.8
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1330_polar-co-ordinates-v-1980.jpg!Blog.jpg,0.35,0.85,0.35,0.3,0.65
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1339_the-trial-by-fire-st-francis-before-the-sultan-of-egypt-1485.jpg!Blog.jpg,0.45,0.0,0.05,0.25,0.8
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1341_the-visitation-1491.jpg!Blog.jpg,0.45,0.05,0.45,0.4,0.45
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1351_comparison-of-scalp-skin-and-onion-1489.jpg!Blog.jpg,0.3,0.45,0.45,0.5,0.5
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1357_the-father-of-the-psyche-consultants-of-oracle-in-the-temple-of-apollo-1652.jpg!Blog.jpg,0.75,0.5,0.3,1.0,0.8
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1358_express-1988.jpg!Blog.jpg,0.35,0.55,0.9,0.65,0.7
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1359_linden-tree-on-a-bastion-1494.jpg!Blog.jpg,0.65,0.5,0.4,0.6,0.5
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1364_christ-and-the-adulteress-1751.jpg!Blog.jpg,0.85,0.55,0.8,0.9,0.85
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1365_nude-woman-combing-her-hair-1913.jpg!Blog.jpg,0.8,0.5,0.65,0.7,0.65
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1368_portrait-of-a-musician-1485.jpg!Blog.jpg,0.5,0.25,0.25,0.45,0.0
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/136_st-michael-1424.jpg!Blog.jpg,0.8,0.3,0.05,0.5,0.05
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1371_greyhound-1793.jpg!Blog.jpg,0.9,0.25,0.3,0.45,0.1
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1372_peasant-in-a-cart-1812.jpg!Blog.jpg,0.6,0.45,0.5,0.55,0.75
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1372_the-mission-of-st-peter-1617.jpg!Blog.jpg,0.6,0.55,0.65,0.8,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1376_studies-of-central-plan-buildings-1480.jpg!Blog.jpg,0.4,0.35,0.35,0.45,0.6
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1377_landscape-with-sitting-farmer-1757.jpg!Blog.jpg,0.8,0.25,0.3,0.7,0.65
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1377_the-sacrifice-of-isaac-1630.jpg!Blog.jpg,0.85,0.75,0.55,0.6,0.75
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1387_usury-is-a-great-evil-1645.jpg!Blog.jpg,0.75,0.45,0.6,0.5,0.65
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1389_presentation-in-the-temple-1754.jpg!Blog.jpg,0.9,0.6,0.65,0.8,0.9
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1396_summer-stroll-1757.jpg!Blog.jpg,0.55,0.2,0.35,0.7,0.8
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1406_the-procession-of-the-trojan-horse-in-troy-1773.jpg!Blog.jpg,0.75,0.5,0.9,0.7,0.95
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1406_the-promenade-1918.jpg!Blog.jpg,0.4,0.5,0.65,0.2,0.5
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1409_maria-with-child-1526.jpg!Blog.jpg,0.75,0.2,0.3,0.45,0.2
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/140_die-liebenden-1744.jpg!Blog.jpg,0.7,0.8,0.5,0.5,0.6
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1414_portrait-of-mademoiselle-claus-1868.jpg!Blog.jpg,1.0,0.25,0.4,0.65,0.1
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1416_two-peasant-women-and-a-child-seen-from-behind-from-the-foresteria-guesthouse-1757.jpg!Blog.jpg,0.5,0.15,0.55,0.6,0.65
https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1418_flight-of-faust-and-mephisto-1886.jpg!Blog.jpg,0.4,0.5,0.8,0.85,0.9
